"Date","Price","Open","High","Low","Vol.","Change %"
"14.11.2023","182,12","181,70","182,75","181,62","6,83M","0,89%"
"13.11.2023","180,51","179,40","180,73","179,11","5,39M","0,56%"
"10.11.2023","179,51","180,51","180,59","179,24","7,61M","-1,09%"
"09.11.2023","181,49","180,98","182,28","180,89","6,49M","0,40%"
"08.11.2023","180,77","182,01","182,07","180,57","6,74M","-1,00%"
"07.11.2023","182,59","182,25","182,65","181,75","6,80M","-0,41%"
"06.11.2023","183,35","184,14","184,23","183,34","8,27M","-0,78%"
"03.11.2023","184,79","184,48","185,47","184,35","8,53M","0,36%"
"02.11.2023","184,12","184,13","184,28","183,50","7,34M","0,33%"
"01.11.2023","183,51","183,91","185,00","182,67","9,05M","-0,32%"
"31.10.2023","184,09","185,08","186,21","183,49","10,10M","-0,55%"
"30.10.2023","185,10","185,54","185,70","184,73","8,76M","-0,56%"
"27.10.2023","186,15","183,76","186,36","183,47","14,10M","1,16%"
"26.10.2023","184,01","183,40","184,49","182,87","7,67M","0,16%"
"25.10.2023","183,72","183,42","184,30","182,04","10,09M","0,42%"
"24.10.2023","182,95","182,07","183,40","181,68","6,59M","-0,01%"
"23.10.2023","182,97","183,51","183,56","182,71","9,48M","-0,34%"
"20.10.2023","183,59","183,43","185,23","183,09","12,79M","0,27%"
"19.10.2023","183,09","181,04","183,43","180,82","13,41M","1,23%"
"18.10.2023","180,87","180,89","182,02","179,75","13,92M","1,45%"
"17.10.2023","178,29","178,37","179,13","177,98","8,23M","0,19%"
"16.10.2023","177,96","177,84","178,33","177,54","8,39M","-0,49%"
"13.10.2023","178,83","176,89","179,10","176,72","18,80M","3,21%"
"12.10.2023","173,26","174,06","174,23","173,24","5,91M","-0,30%"
"11.10.2023","173,79","173,60","174,13","173,26","7,13M","0,73%"
"10.10.2023","172,53","172,08","172,79","171,90","5,84M","-0,17%"
"09.10.2023","172,82","171,18","172,86","171,07","10,20M","1,84%"
"06.10.2023","169,70","169,17","170,23","168,50","9,95M","0,52%"
"05.10.2023","168,83","168,74","169,00","168,30","6,97M","-0,18%"
"04.10.2023","169,14","169,21","169,41","168,50","10,03M","-0,01%"
"03.10.2023","169,16","169,14","170,08","168,74","11,46M","-0,29%"
"02.10.2023","169,65","170,23","170,46","169,50","12,71M","-1,05%"
"29.09.2023","171,45","173,92","174,03","171,26","10,43M","-1,03%"
"28.09.2023","173,23","173,91","174,13","172,32","10,06M","-0,50%"
"27.09.2023","174,10","175,27","175,32","173,70","10,92M","-1,24%"
"26.09.2023","176,28","176,82","177,14","176,16","7,18M","-0,80%"
"25.09.2023","177,70","178,41","178,71","177,64","5,58M","-0,52%"
"22.09.2023","178,62","178,65","178,95","178,51","3,64M","0,32%"
"21.09.2023","178,05","177,86","178,49","177,69","7,57M","-0,72%"
"20.09.2023","179,35","179,34","180,66","179,32","9,33M","0,07%"
"19.09.2023","179,22","179,54","179,65","179,03","4,23M","-0,09%"
"18.09.2023","179,39","178,82","179,41","178,38","5,05M","0,59%"
"15.09.2023","178,34","178,55","179,10","178,34","5,62M","0,66%"
"14.09.2023","177,17","176,50","177,39","176,36","6,18M","0,05%"
"13.09.2023","177,08","177,53","177,75","177,04","3,87M","-0,23%"
"12.09.2023","177,49","177,11","177,70","177,05","4,45M","-0,52%"
"11.09.2023","178,41","178,97","179,07","178,26","3,69M","0,19%"
"08.09.2023","178,08","178,36","179,04","177,90","3,29M","0,03%"
"07.09.2023","178,02","178,31","178,37","177,90","3,26M","0,11%"
"06.09.2023","177,83","178,33","179,01","177,70","6,43M","-0,45%"
"05.09.2023","178,64","179,33","179,44","178,64","7,06M","-0,82%"
"01.09.2023","180,11","180,80","181,12","179,51","4,97M","0,05%"
"31.08.2023","180,02","180,37","180,49","179,94","4,80M","-0,17%"
"30.08.2023","180,32","180,58","180,88","180,29","6,59M","0,25%"
"29.08.2023","179,87","178,03","179,88","177,90","7,58M","0,98%"
"28.08.2023","178,13","177,65","178,73","177,51","4,74M","0,29%"
"25.08.2023","177,62","177,58","178,38","176,63","6,13M","-0,13%"
"24.08.2023","177,85","177,66","178,49","177,41","5,53M","-0,02%"
"23.08.2023","177,89","177,32","178,22","177,07","7,95M","1,02%"
"22.08.2023","176,10","175,83","176,25","175,31","5,89M","0,16%"
"21.08.2023","175,81","175,90","175,94","174,96","4,21M","0,27%"
